taxon_name,firstapp_max_ma,lastapp_min_ma
Stegopelta landerensis,99.6,93.5
Gastonia burgei,139.8,132.9
Gastonia lorriemcwhinneyae,125,100.5
Peloroplites cedrimontanus,125,100.5
Anoplosaurus curtonotus,99.6,93.5
Silvisaurus condrayi,105.3,99.6
Hoplitosaurus marshi,129.4,125
Gargoyleosaurus parkpinorum,155.7,145
Polacanthus foxii,145,99.6
Polacanthus rudgwickensis,129.4,125
Propanoplosaurus marylandicus,122.46,112.03
Europelta carbonensis,112.03,109
Panoplosaurus rugosidens,83.6,66
Panoplosaurus mirus,83.5,70.6
Edmontonia longiceps,83.5,66
Acantholipan gonzalezi,83.6,72.1
Hungarosaurus tormai,86.3,83.6
Dongyangopelta yangyanensis,113,93.9
Glyptodontopelta mimus,83.5,66
Niobrarasaurus coleii,89.3,83.5
Texasetes pleurohalio,105.3,99.6
Taohelong jinchengensis,129.4,113
Pawpawsaurus campbelli,105.3,99.6
Hylaeosaurus armatus,140.2,109
Tatankacephalus cooneyorum,113,100.5
Struthiosaurus austriacus,83.5,66
Struthiosaurus languedocensis,83.5,70.6
Struthiosaurus transylvanicus,70.6,66
Sauropelta edwardsorum,125,93.5
Nodosaurus textilis,99.6,93.5
Animantarx ramaljonesi,125,100.5
Sauroplites scutiger,125,113
Invictarx zephyri,83.5,70.6
Mymoorapelta maysi,157.3,145
Kunbarrasaurus ieversi,105.3,99.6
Sarcolestes leedsi,164.7,161.2
Scutellosaurus lawleri,201.3,182.7
Scelidosaurus harrisonii,199.3,189.6
Emausaurus ernsti,182.7,174.1
Bashanosaurus primitivus,168.3,163.5
Adratiklit boulahfa,167.7,163.5
Tuojiangosaurus multispinus,168.3,163.5
Isaberrysaura mollensis,171.6,168.4
Paranthodon africanus,145,136.4
Huayangosaurus taibaii,170.3,157.3
Changdusaurus laminaplacodus,174.1,163.5
Loricatosaurus priscus,164.7,161.2
Dacentrurus armatus,157.3,145
Miragaia longispinus,157.3,145
Miragaia longicollum,155.7,145
Mongolostegus exspectabilis,125,100.5
Hesperosaurus mjosi,161.2,145
Jiangjunosaurus junggarensis,163.5,157.3
Chungkingosaurus jiangbeiensis,168.3,163.5
Gigantspinosaurus sichuanensis,168.3,163.5
Lexovisaurus phillipsi,163.5,157.3
Yingshanosaurus jichuanensis,168.3,163.5
Diracodon laticeps,157.3,145
Wuerhosaurus homheni,139.8,100.5
Stegosaurus stenops,157.3,145
Stegosaurus sulcatus,157.3,145
Stegosaurus duplex,157.3,145
Stegosaurus ungulatus,157.3,145
Hypsirophus discurus,152.1,145
Stegosaurus armatus,,
Kentrosaurus aethiopicus,163.5,145
Agilisaurus louderbacki,170.3,157.3
Hexinlusaurus multidens,170.3,157.3
Xiaosaurus dashanpensis,170.3,157.3
Gongbusaurus wucaiwanensis,166.1,157.3
Gongbusaurus shiyii,168.3,163.5
Laquintasaura venezuelae,201.3,199.3
Sanxiasaurus modaoxiensis,182.7,170.3
Yandusaurus hongheensis,170.3,168.3
Kulindapteryx ukureica,167.7,145
Haya griva,86.3,70.6
Notohypsilophodon comodorensis,99.6,89.3
Pisanosaurus mertii,237,228
Fruitadens haagarorum,152.1,145
Heterodontosaurus tucki,201.3,190.8
Abrictosaurus consors,201.3,190.8
Lycorhinus angustidens,201.3,190.8
Lycorhinus parvidens,,
Echinodon becklesii,145,140.2
Manidens condorensis,182,175.6
Pegomastax africanus,201.3,190.8
Lesothosaurus diagnosticus,201.3,190.8
Krzyzanowskisaurus hunti,237,208.5
Ferganocephale adenticulatum,166.1,163.5
Eoraptor lunensis,237,228
Guaibasaurus candelariensis,228,208.5
Agnosphitys cromhallensis,208.5,201.3
Asylosaurus yalensis,208.5,201.3
Meroktenos thabanensis,228,201.3
Camelotia borealis,208.5,201.3
Xingxiulong chengi,201.3,199.3
Yunnanosaurus robustus,199.3,190.8
Yunnanosaurus huangi,201.3,190.8
Yunnanosaurus youngi,190.8,182.7
Mussaurus patagonicus,199.3,190.8
Irisosaurus yimenensis,190.8,182.7
Seitaad ruessi,190.8,174.1
Schleitheimia schutzi,228,208.5
Leonerasaurus taquetrensis,189.6,183
Yizhousaurus sunae,199.3,190.8
Blikanasaurus cromptoni,228,201.3
Aardonyx celestae,201.3,190.8
Ledumahadi mafube,201.3,190.8
Sefapanosaurus zastronensis,228,199.3
Melanorosaurus readi,228,201.3
Ingentia prima,228,208.5
Antetonitrus ingenipes,201.3,190.8
Lessemsaurus sauropoides,228,208.5
Dachongosaurus yunnanensis,,
Ohmdenosaurus liasicus,182,175.6
Microdontosaurus dayensis,174.1,163.5
Tazoudasaurus naimi,190.8,174.1
Volkheimeria chubutensis,182,175.6
Patagosaurus fariasi,182,175.6
Spinophorosaurus nigerensis,170.3,166.1
Barapasaurus tagorei,199.3,182.7
Amygdalodon patagonicus,190.8,182
Cetiosaurus philippsii,,
Cetiosaurus oxoniensis,171.6,164.7
Haestasaurus becklesii,145,132.9
Perijasaurus lapaz,180.1,171.6
Dystrophaeus viaemalae,161.2,155.7
Cardiodon rugulosus,167.7,164.7
Yuanmousaurus jiangyiensis,174.1,163.5
Wamweracaudia keranjei,152.1,145
Eomamenchisaurus yuanmouensis,174.1,163.5
Mamenchisaurus youngi,168.3,163.5
Mamenchisaurus sinocanadorum,163.5,157.3
Mamenchisaurus jingyanensis,168.3,163.5
Mamenchisaurus anyuensis,163.5,112.03
Mamenchisaurus hochuanensis,168.3,145
Mamenchisaurus gongjianensis,,
Mamenchisaurus constructus,163.5,145
Chuanjiesaurus anaensis,170.3,168.3
Qijianglong guokr,163.5,145
Abrosaurus dongpoensis,170.3,157.3
Huangshanlong anhuiensis,174.1,163.5
Anhuilong diboensis,174.1,163.5
Hudiesaurus sinojapanorum,155.7,145
Rhomaleopakhus turpanensis,155.7,145
Xinjiangtitan shanshanesis,168.3,145
Analong chuanjieensis,170.3,168.3
Tonganosaurus hei,201.3,174.1
Omeisaurus fuxiensis,168.3,163.5
Omeisaurus tianfuensis,170.3,157.3
Omeisaurus maoianus,157.3,145
Omeisaurus puxiani,168.3,163.5
Omeisaurus junghsiensis,170.3,145
Omeisaurus luoquanensis,163.5,157.3
Omeisaurus jiaoi,170.3,157.3
Omeisaurus changshouensis,168.3,163.5
Klamelisaurus gobiensis,166.1,163.5
Cetiosauriscus stewarti,164.7,161.2
Bagualia alba,182,175.6
Shunosaurus lii,170.3,157.3
Ferganasaurus verzilini,166.1,163.5
Jobaria tiguidensis,163.5,145
Amanzia greppini,155.7,150.8
Chebsaurus algeriensis,166.1,163.5
Protognathosaurus oxyodon,170.3,157.3
Tendaguria tanzaniensis,152.1,145
Mierasaurus bobyoungi,145,132.9
Moabosaurus utahensis,139.8,132.9
Turiasaurus riodevensis,157.3,145
Zby atlanticus,155.7,150.8
Losillasaurus giganteus,157.3,145
Narindasaurus thevenini,168.3,166.1
Janenschia robusta,152.1,145
Datousaurus bashanensis,170.3,157.3
Nebulasaurus taito,174.1,168.3
Fusuisaurus zhaoi,125,113
Huanghetitan liujiaxiaensis,129.4,113
